,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
230,116,6020,116,0.0475934291134277,0.0,0.0,,,,,
231,116,5684,116,0.0477722796238958,1.0,1.0,,,,,
232,117,5749,117,0.0475045433500781,0.0,0.0,,,,,
233,117,6077,117,0.0448565843169178,0.0,0.0,,,,,
234,118,5798,118,0.0409684489822636,0.0,0.0,,,,,
235,118,6118,118,0.0523845747858286,1.0,1.0,,,,,
236,119,5855,119,0.0376693983535681,1.0,1.0,,,,,
237,119,6191,119,0.0476126699418657,0.0,0.0,,,,,
238,120,6232,120,0.0747167125493288,0.0,0.0,,,,,
239,120,5904,120,0.0477677859614292,0.0,0.0,,,,,
240,121,6265,121,0.0826229690387845,0.0,0.0,0.0394151067500933,1.0,1.0,,
241,121,5945,121,0.0745375997126102,0.0,0.0,0.0382009347927357,1.0,1.0,,
242,122,6330,122,0.0353988049225881,1.0,1.0,,,,,
243,122,5970,122,0.0803268950184186,0.0,0.0,,,,,
244,123,6003,123,0.0766619540564716,0.0,0.0,,,,,
245,123,6371,123,0.0769376255720853,0.0,0.0,,,,,
246,124,6028,124,0.0861346749961376,0.0,0.0,,,,,
247,124,6412,124,0.0619906969070434,0.0,0.0,,,,,
248,125,6101,125,0.0397559445848067,1.0,1.0,,,,,
249,125,6445,125,0.0479841115139424,1.0,1.0,,,,,
250,126,6494,126,0.0611963805556297,0.0,0.0,,,,,
251,126,6158,126,0.0506700354734701,0.0,0.0,,,,,
252,127,6575,127,0.0537150222659111,0.0,0.0,,,,,
253,127,6215,127,0.0435995659950588,0.0,0.0,,,,,
254,128,6600,128,0.0830046213666597,0.0,0.0,,,,,
255,128,6240,128,0.071836174869289,1.0,1.0,,,,,
256,129,6265,129,0.0621934413661559,1.0,1.0,0.0547900428669527,0.0,0.0,,
257,129,6641,129,0.0664809304252266,0.0,0.0,0.0317571031302213,1.0,1.0,,
258,130,6674,130,0.0870025796443223,0.0,0.0,,,,,
259,130,6314,130,0.0463332043463985,0.0,0.0,,,,,
260,131,6355,131,0.0282995742894709,1.0,1.0,,,,,
261,131,6707,131,0.034006395433098,1.0,1.0,,,,,
262,132,6740,132,0.0329684513062238,1.0,1.0,,,,,
263,132,6380,132,0.1248593784868717,0.0,0.0,,,,,
264,133,6413,133,0.09363564286381,0.0,0.0,,,,,
265,133,6789,133,0.0271411983824024,1.0,1.0,,,,,
266,134,6830,134,0.0282425477057695,1.0,1.0,,,,,
267,134,6446,134,0.0737462193984538,0.0,0.0,,,,,
268,135,6879,135,0.0722830463697513,0.0,0.0,,,,,
269,135,6471,135,0.0598190757632255,0.0,0.0,,,,,
270,136,6496,136,0.0568739058077335,1.0,1.0,,,,,
271,136,6912,136,0.0651420005597174,0.0,0.0,,,,,
272,137,6945,137,0.0494916549511253,1.0,1.0,0.0415770426485687,1.0,1.0,,
273,137,6537,137,0.028999375924468,1.0,1.0,0.0584901784693356,0.0,0.0,,
274,138,6578,138,0.0674250536393374,0.0,0.0,,,,,
275,138,7002,138,0.0522227738185652,0.0,0.0,,,,,
276,139,6619,139,0.1122231302633881,0.0,0.0,,,,,
277,139,7043,139,0.0915354112982749,0.0,0.0,,,,,
278,140,6652,140,0.023327464852482,1.0,1.0,,,,,
279,140,7092,140,0.0474163317990799,0.0,0.0,,,,,
280,141,6685,141,0.1023721769219264,0.0,0.0,,,,,
281,141,7173,141,0.0468865010440349,0.0,0.0,,,,,
282,142,6718,142,0.1162370137590915,0.0,0.0,,,,,
283,142,7206,142,0.0723487496934831,0.0,0.0,,,,,
284,143,7287,143,0.0342453225925564,0.0,0.0,,,,,
285,143,6751,143,0.0920066346414387,0.0,0.0,,,,,
286,144,6792,144,0.0264507448300719,1.0,1.0,,,,,
287,144,7328,144,0.0319570950940251,1.0,1.0,,,,,
288,145,7369,145,0.0705572359580546,0.0,0.0,0.0485070063024759,0.0,0.0,,
289,145,6865,145,0.0393463463713932,0.0,0.0,0.0479404591815546,0.0,0.0,,
290,146,7418,146,0.046202681340898,1.0,1.0,,,,,
291,146,6890,146,0.0873354446763793,0.0,0.0,,,,,
292,147,7491,147,0.0453960496518347,1.0,1.0,,,,,
293,147,6931,147,0.0570664942990988,0.0,0.0,,,,,
294,148,6980,148,0.0413273247199443,0.0,0.0,,,,,
295,148,7548,148,0.0317283197412533,1.0,1.0,,,,,
296,149,7021,149,0.0655983829349279,0.0,0.0,,,,,
297,149,7589,149,0.0249295523837208,1.0,1.0,,,,,
298,150,7614,150,0.0595471839110056,1.0,1.0,,,,,
299,150,7062,150,0.0588755374699831,0.0,0.0,,,,,
