,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
173,174,1423744,11136,0.0071511108199508,0.890625,0.890625,,,,,
174,175,1431488,11200,0.0070315409037241,0.84375,0.84375,,,,,
175,176,1437696,11264,0.0088781884377212,0.8125,0.8125,,,,,
176,177,1443392,11328,0.008848638016391,0.84375,0.84375,0.0047738187993017,0.9375,0.9375,,
177,178,1451648,11392,0.0063532046452471,0.890625,0.890625,,,,,
178,179,1457856,11456,0.0087150162542733,0.875,0.875,,,,,
179,180,1463552,11520,0.0090812875369529,0.890625,0.890625,,,,,
180,181,1469248,11584,0.0101828058412067,0.875,0.875,,,,,
181,182,1475456,11648,0.007590760960194,0.90625,0.90625,,,,,
182,183,1483712,11712,0.0066292019131613,0.859375,0.859375,,,,,
183,184,1489920,11776,0.0085823419476114,0.921875,0.921875,,,,,
184,185,1497664,11840,0.0064387280428022,0.921875,0.921875,0.0070555916745028,0.953125,0.953125,,
185,186,1512576,11904,0.0037650377780218,0.875,0.875,,,,,
186,187,1526976,11968,0.0034962684168926,0.90625,0.90625,,,,,
187,188,1533696,12032,0.0079420508108567,0.90625,0.90625,,,,,
188,189,1538880,12096,0.0094683780200959,0.953125,0.953125,,,,,
189,190,1544576,12160,0.0115050577237478,0.84375,0.84375,,,,,
190,191,1559488,12224,0.0046009697176327,0.765625,0.765625,,,,,
191,192,1566208,12288,0.0112719289841349,0.765625,0.765625,,,,,
192,193,1572416,12352,0.0091711457663596,0.84375,0.84375,0.009441693271164,0.875,0.875,,
193,194,1581184,12416,0.0051467086346848,0.96875,0.96875,,,,,
194,195,1588416,12480,0.0094925592657272,0.84375,0.84375,,,,,
195,196,1600768,12544,0.0055775765312732,0.796875,0.796875,,,,,
196,197,1610560,12608,0.0056472944896492,0.890625,0.890625,,,,,
197,198,1616768,12672,0.0078722992784629,0.9375,0.9375,,,,,
198,199,1621440,12736,0.011927028897729,0.90625,0.90625,,,,,
199,200,1629696,12800,0.0065047753800305,0.90625,0.90625,,,,,
200,201,1638464,12864,0.0061720469576992,0.890625,0.890625,0.0108414747934195,0.84375,0.84375,,
201,202,1645184,12928,0.0089755238758622,0.84375,0.84375,,,,,
202,203,1653440,12992,0.0071389045893131,0.796875,0.796875,,,,,
203,204,1659648,13056,0.0100445270372013,0.8125,0.8125,,,,,
204,205,1667392,13120,0.0075180474222362,0.8125,0.8125,,,,,
205,206,1676160,13184,0.0069076589835641,0.875,0.875,,,,,
